transaction_id,customer_id,product_id,store_id,employee_id,quantity,purchase_date,_rescued_data
10001,655,110,11,164,1,2025-06-09,
10002,115,245,25,29,4,2025-05-23,
10003,26,40,15,7,3,2025-06-03,
10004,760,68,22,190,1,2025-05-26,
10005,282,304,4,71,4,2025-06-14,
10006,251,116,9,63,2,2025-06-10,
10007,229,266,5,58,4,2025-06-05,
10008,143,349,6,36,2,2025-06-08,
10009,755,228,9,189,1,2025-06-16,
10010,105,5,4,27,3,2025-06-01,
10011,693,5,1,174,5,2025-05-29,
10012,759,357,20,190,3,2025-05-24,
10013,914,176,18,140,1,2025-06-01,
10014,559,419,17,23,1,2025-06-01,
10015,90,62,4,152,2,2025-05-31,
10016,605,441,7,109,4,2025-05-23,
10017,433,217,18,9,3,2025-05-22,
10018,33,356,12,8,5,2025-05-22,
10019,31,68,18,24,4,2025-06-10,
10020,96,245,11,56,1,2025-05-20,
10021,224,37,9,60,5,2025-05-28,
10022,239,118,5,130,5,2025-06-07,
10023,518,197,23,155,2,2025-05-28,
10024,617,46,26,7,3,2025-06-10,
10025,28,375,10,144,1,2025-06-16,
10026,575,413,19,51,5,2025-05-20,
10027,204,53,8,184,3,2025-05-21,
10028,734,53,6,167,4,2025-06-12,
10029,666,161,3,180,2,2025-05-20,
10030,719,189,10,140,3,2025-05-20,
10031,559,452,20,108,2,2025-06-02,
10032,430,154,29,57,3,2025-06-10,
10033,226,71,11,115,4,2025-05-23,
10034,460,196,18,151,1,2025-05-25,
10035,604,397,15,72,3,2025-05-24,
10036,285,417,2,2,1,2025-05-23,
10037,829,386,5,195,5,2025-05-20,
10038,891,448,1,41,5,2025-05-22,
10039,7,69,16,179,4,2025-05-20,
10040,778,329,29,109,4,2025-06-04,
10041,826,347,22,88,5,2025-06-07,
10042,164,74,2,72,2,2025-06-13,
10043,715,36,4,40,5,2025-05-24,
10044,433,272,13,56,5,2025-06-02,
10045,349,289,2,196,1,2025-06-01,
10046,285,5,3,87,2,2025-05-28,
10047,160,313,14,27,1,2025-06-01,
10048,221,333,13,24,5,2025-06-13,
10049,981,85,6,98,1,2025-05-21,
10050,782,226,23,25,3,2025-05-28,
10051,345,180,20,92,2,2025-06-01,
10052,105,370,29,89,4,2025-06-07,
10053,95,110,19,155,2,2025-06-18,
10054,390,322,21,68,5,2025-06-16,
10055,100,384,27,12,1,2025-06-08,
10056,368,78,23,187,1,2025-05-29,
10057,868,471,23,118,2,2025-06-04,
10058,353,211,15,138,3,2025-06-14,
10059,619,316,20,32,4,2025-05-22,
10060,271,352,12,97,3,2025-05-24,
10061,827,227,10,21,2,2025-06-08,
10062,45,441,11,142,2,2025-06-18,
10063,748,112,27,76,4,2025-06-02,
10064,471,45,7,161,2,2025-05-24,
10065,550,460,23,159,1,2025-06-06,
10066,128,52,25,93,2,2025-06-07,
10067,997,72,22,148,5,2025-05-29,
10068,945,386,26,50,4,2025-06-06,
10069,388,64,18,181,3,2025-06-08,
10070,81,302,3,18,2,2025-06-05,
10071,566,374,30,12,3,2025-06-07,
10072,301,197,25,170,3,2025-05-28,
10073,850,180,25,59,1,2025-05-29,
10074,644,494,15,198,5,2025-06-15,
10075,634,220,19,75,4,2025-06-09,
10076,907,162,5,21,3,2025-06-14,
10077,883,406,3,60,1,2025-05-27,
10078,371,72,27,26,2,2025-06-16,
10079,592,127,26,98,3,2025-05-21,
10080,197,142,30,72,3,2025-05-26,
10081,722,331,23,117,2,2025-06-12,
10082,72,44,15,163,2,2025-05-29,
10083,47,128,4,94,5,2025-06-18,
10084,678,284,15,42,1,2025-06-17,
10085,234,308,10,95,2,2025-05-23,
10086,792,308,22,91,2,2025-06-04,
10087,297,370,21,54,5,2025-05-30,
10088,82,312,23,172,4,2025-06-03,
10089,876,146,25,69,5,2025-06-10,
10090,239,399,15,180,3,2025-05-31,
10091,888,482,16,175,2,2025-05-28,
10092,104,354,8,166,4,2025-05-23,
10093,390,14,8,19,1,2025-06-02,
10094,285,435,5,156,1,2025-05-21,
10095,465,434,28,163,4,2025-06-06,
10096,651,338,29,44,1,2025-06-17,
10097,855,449,20,137,2,2025-05-26,
10098,374,155,9,187,1,2025-06-09,
10099,167,106,30,63,2,2025-06-03,
10100,380,266,12,42,2,2025-05-22,
10101,364,311,13,119,2,2025-05-22,
10102,215,261,6,98,1,2025-05-22,
10103,687,97,23,70,2,2025-06-10,
10104,274,383,30,164,5,2025-06-08,
10105,719,201,22,177,5,2025-06-09,
10106,960,152,11,143,2,2025-05-27,
10107,700,331,26,57,2,2025-06-14,
10108,664,28,28,176,5,2025-06-01,
10109,74,402,29,84,1,2025-06-01,
10110,624,460,11,197,4,2025-05-28,
10111,651,407,15,199,4,2025-06-15,
10112,176,489,16,15,3,2025-05-20,
