transaction_id,customer_id,product_id,store_id,employee_id,quantity,purchase_date
1,803,64,3,69,5,2024-12-04
2,920,274,6,56,3,2024-11-07
3,813,380,10,84,5,2025-03-06
4,978,201,8,153,1,2025-01-29
5,246,87,2,98,4,2025-03-19
6,507,40,1,162,1,2025-02-06
7,396,344,8,167,2,2025-01-26
8,116,391,6,48,4,2024-10-31
9,247,6,7,165,1,2024-07-20
10,512,347,4,65,1,2025-04-12
11,654,140,4,86,1,2025-04-13
12,609,79,6,134,4,2024-09-27
13,73,226,4,175,4,2024-08-25
14,541,184,6,125,1,2025-04-10
15,911,92,8,2,1,2024-08-01
16,13,111,5,21,4,2024-10-31
17,370,366,9,46,4,2025-06-04
18,957,18,6,3,2,2024-12-15
19,325,458,10,189,4,2025-01-09
20,136,346,6,192,3,2024-10-07
21,397,273,4,76,5,2025-02-24
22,882,111,3,170,3,2024-12-23
23,860,227,6,169,5,2024-09-09
24,583,357,10,37,2,2025-05-18
25,431,25,4,77,2,2024-07-08
26,375,429,10,42,1,2025-04-20
27,560,326,10,169,4,2024-08-05
28,700,416,4,96,5,2024-12-26
29,177,268,4,56,1,2024-08-08
30,782,329,8,105,1,2024-12-22
31,483,340,10,153,1,2025-06-07
32,978,367,8,5,4,2024-10-16
33,789,338,1,150,1,2024-06-28
34,75,460,6,24,5,2025-01-22
35,18,53,9,40,4,2024-10-30
36,602,200,2,58,1,2025-01-27
37,70,354,7,118,1,2025-04-05
38,15,158,3,94,3,2024-11-15
39,269,228,10,64,5,2025-05-03
40,221,27,6,3,1,2025-02-11
41,41,307,2,47,2,2025-01-05
42,945,3,9,142,1,2024-11-29
43,62,25,8,69,3,2025-04-22
44,972,396,8,146,3,2024-07-31
45,809,194,10,116,3,2024-10-13
46,408,393,5,104,1,2024-09-15
47,519,104,2,181,3,2025-04-12
48,294,476,8,16,3,2024-08-09
49,644,128,7,64,5,2025-03-13
50,730,192,4,157,4,2025-03-18
51,514,466,5,97,4,2025-02-11
52,786,123,3,167,3,2025-01-27
53,426,103,6,195,2,2025-05-30
54,434,47,1,115,2,2025-04-14
55,719,9,8,1,2,2024-10-24
56,412,216,4,34,5,2025-06-14
57,85,15,4,194,3,2025-05-26
58,656,8,1,76,5,2025-05-30
59,550,173,6,63,4,2025-06-03
60,551,421,6,97,3,2024-08-26
61,631,99,10,82,3,2025-04-14
62,157,349,8,35,2,2025-06-16
63,285,343,9,196,2,2024-08-11
64,86,33,3,177,5,2025-05-30
65,318,113,5,79,1,2025-05-09
