review_id,customer_id,product_id,rating,review_text,review_date
1,164,188,1,Would not buy again,2025-02-21 01:51:43.885557
2,495,153,2,Excellent!,2025-05-25 01:51:43.885610
3,162,119,5,Would not buy again,2024-10-24 01:51:43.885620
4,507,150,2,Excellent!,2025-05-05 01:51:43.885627
5,265,171,3,Great product!,2024-07-09 01:51:43.885633
6,972,124,3,Would not buy again,2025-06-21 01:51:43.885640
7,110,199,5,Not bad,2025-04-11 01:51:43.885647
8,852,198,3,Would not buy again,2025-04-02 01:51:43.885654
9,900,36,2,Would not buy again,2025-03-03 01:51:43.885662
10,719,46,2,Excellent!,2025-03-21 01:51:43.885668
11,319,22,2,Would not buy again,2025-06-04 01:51:43.885674
12,132,35,3,Excellent!,2024-10-13 01:51:43.885680
13,133,113,2,Great product!,2025-05-01 01:51:43.885687
14,394,175,4,Would not buy again,2025-02-15 01:51:43.885693
15,620,33,5,Not bad,2025-03-26 01:51:43.885699
16,684,141,4,Not bad,2025-02-02 01:51:43.885705
17,552,56,2,Great product!,2024-11-16 01:51:43.885710
18,804,67,3,Not bad,2024-09-27 01:51:43.885716
19,35,13,5,Excellent!,2024-08-28 01:51:43.885723
20,571,50,4,Would not buy again,2024-07-31 01:51:43.885729
21,705,185,2,Just okay,2024-11-15 01:51:43.885735
22,722,28,3,Would not buy again,2024-08-20 01:51:43.885752
23,372,104,2,Would not buy again,2024-10-25 01:51:43.885758
24,31,98,4,Just okay,2024-10-16 01:51:43.885764
25,174,96,4,Not bad,2024-08-21 01:51:43.885769
26,817,87,5,Not bad,2024-11-23 01:51:43.885776
27,390,88,3,Would not buy again,2024-11-07 01:51:43.885782
28,710,193,1,Not bad,2025-06-11 01:51:43.885787
29,106,152,2,Excellent!,2024-07-21 01:51:43.885793
30,275,195,3,Excellent!,2025-02-13 01:51:43.885799
31,96,125,1,Just okay,2024-12-24 01:51:43.885805
32,682,81,3,Would not buy again,2025-03-18 01:51:43.885818
33,30,7,2,Excellent!,2025-03-25 01:51:43.885824
34,794,74,2,Great product!,2024-10-04 01:51:43.885831
35,899,83,5,Not bad,2025-01-29 01:51:43.885837
36,161,24,4,Would not buy again,2024-11-25 01:51:43.885843
37,306,137,4,Excellent!,2025-06-10 01:51:43.885849
38,927,114,4,Just okay,2024-10-02 01:51:43.885854
39,623,15,5,Excellent!,2024-12-11 01:51:43.885860
40,724,113,4,Great product!,2025-01-22 01:51:43.885866
41,196,184,3,Excellent!,2025-04-28 01:51:43.885872
42,608,122,4,Would not buy again,2025-04-08 01:51:43.885878
43,338,86,4,Just okay,2025-04-19 01:51:43.885884
44,138,145,2,Just okay,2025-05-02 01:51:43.885890
45,790,19,5,Great product!,2024-07-12 01:51:43.885895
46,447,9,5,Would not buy again,2025-02-04 01:51:43.885904
47,310,64,4,Great product!,2025-05-15 01:51:43.885914
48,179,185,1,Great product!,2024-11-20 01:51:43.885923
49,337,38,2,Great product!,2025-01-24 01:51:43.885933
50,234,136,4,Excellent!,2025-05-15 01:51:43.885943
51,249,134,1,Not bad,2024-09-15 01:51:43.885949
52,132,177,3,Excellent!,2024-12-03 01:51:43.885955
53,249,102,2,Would not buy again,2025-06-10 01:51:43.885961
54,805,173,5,Great product!,2024-07-15 01:51:43.885968
55,455,149,1,Great product!,2024-08-16 01:51:43.885973
56,499,93,4,Not bad,2024-11-12 01:51:43.885979
57,63,34,1,Just okay,2024-09-06 01:51:43.885985
58,819,140,5,Great product!,2025-03-18 01:51:43.885991
59,392,39,3,Excellent!,2025-02-25 01:51:43.885997
60,257,96,1,Great product!,2024-09-05 01:51:43.886003
61,248,6,4,Would not buy again,2025-04-24 01:51:43.886008
62,264,81,1,Not bad,2025-06-05 01:51:43.886014
63,467,32,3,Just okay,2025-01-21 01:51:43.886020
64,849,188,1,Would not buy again,2025-03-15 01:51:43.886025
65,361,136,3,Excellent!,2024-09-15 01:51:43.886032
66,951,166,3,Would not buy again,2024-08-30 01:51:43.886038
67,880,147,2,Great product!,2025-04-08 01:51:43.886044
68,393,183,2,Not bad,2025-05-21 01:51:43.886050
69,179,9,4,Great product!,2024-12-13 01:51:43.886056
70,912,180,4,Not bad,2025-05-26 01:51:43.886061
71,949,156,4,Excellent!,2024-07-15 01:51:43.886067
72,506,62,3,Would not buy again,2024-11-09 01:51:43.886073
73,827,176,3,Not bad,2024-11-01 01:51:43.886079
74,813,114,2,Would not buy again,2024-07-27 01:51:43.886084
75,499,167,3,Not bad,2025-06-11 01:51:43.886090
76,677,181,2,Great product!,2024-07-23 01:51:43.886096
77,603,191,1,Not bad,2025-01-30 01:51:43.886102
78,834,19,4,Not bad,2025-01-11 01:51:43.886108
79,704,33,4,Just okay,2024-11-27 01:51:43.886114
80,292,64,5,Excellent!,2024-07-10 01:51:43.886120
81,588,26,2,Great product!,2024-08-06 01:51:43.886126
82,818,173,5,Great product!,2024-11-11 01:51:43.886132
83,99,1,4,Would not buy again,2025-06-15 01:51:43.886137
84,607,194,5,Not bad,2024-09-21 01:51:43.886143
85,181,163,1,Not bad,2024-09-03 01:51:43.886149
86,953,77,5,Not bad,2025-01-17 01:51:43.886154
87,403,103,1,Great product!,2024-10-05 01:51:43.886160
88,666,96,4,Just okay,2025-01-03 01:51:43.886166
89,374,173,3,Would not buy again,2024-10-16 01:51:43.886172
90,868,76,2,Not bad,2025-04-16 01:51:43.886178
91,836,33,5,Just okay,2025-03-18 01:51:43.886202
92,624,82,1,Excellent!,2024-07-13 01:51:43.886212
93,683,69,4,Great product!,2025-04-05 01:51:43.886222
94,253,83,4,Excellent!,2024-08-20 01:51:43.886232
95,895,159,3,Great product!,2025-06-17 01:51:43.886242
96,863,192,4,Would not buy again,2024-07-07 01:51:43.886251
97,122,106,4,Excellent!,2024-09-18 01:51:43.886262
98,442,102,3,Would not buy again,2024-10-27 01:51:43.886268
99,717,114,4,Would not buy again,2024-11-02 01:51:43.886274
100,245,143,1,Would not buy again,2024-07-12 01:51:43.886280
101,639,46,5,Excellent!,2025-06-22 01:51:43.886286
102,491,120,5,Excellent!,2025-06-07 01:51:43.886291
103,871,48,1,Excellent!,2025-03-11 01:51:43.886298
104,827,68,5,Not bad,2024-09-07 01:51:43.886307
105,46,83,4,Would not buy again,2024-11-26 01:51:43.886328
106,452,85,5,Not bad,2024-11-15 01:51:43.886336
107,296,126,5,Great product!,2025-05-30 01:51:43.886342
108,748,168,4,Excellent!,2024-09-27 01:51:43.886348
109,141,121,5,Just okay,2025-01-12 01:51:43.886354
110,633,129,4,Great product!,2024-11-12 01:51:43.886363
111,873,20,3,Would not buy again,2025-04-22 01:51:43.886369
112,521,150,3,Would not buy again,2025-03-12 01:51:43.886375
113,66,182,5,Not bad,2025-04-03 01:51:43.886380
114,483,65,3,Excellent!,2025-06-29 01:51:43.886386
115,309,143,5,Excellent!,2025-05-06 01:51:43.886392
116,460,61,3,Great product!,2025-01-24 01:51:43.886397
117,593,79,5,Great product!,2024-10-03 01:51:43.886411
118,772,14,2,Great product!,2024-09-30 01:51:43.886417
119,894,69,1,Just okay,2025-05-30 01:51:43.886423
120,398,122,3,Just okay,2024-10-04 01:51:43.886429
121,469,49,4,Would not buy again,2024-12-23 01:51:43.886435
122,617,134,1,Would not buy again,2024-12-03 01:51:43.886441
123,392,169,5,Would not buy again,2024-08-27 01:51:43.886446
124,97,159,1,Excellent!,2025-06-09 01:51:43.886452
125,190,116,4,Would not buy again,2025-06-17 01:51:43.886458
126,941,90,4,Not bad,2024-12-07 01:51:43.886464
127,860,192,5,Great product!,2025-05-28 01:51:43.886470
128,195,89,3,Excellent!,2024-07-24 01:51:43.886476
129,958,179,3,Just okay,2025-05-06 01:51:43.886482
130,334,187,2,Great product!,2024-11-03 01:51:43.886488
131,83,183,4,Would not buy again,2025-04-29 01:51:43.886495
132,251,117,2,Just okay,2025-04-12 01:51:43.886504
133,70,122,4,Just okay,2025-05-22 01:51:43.886514
134,292,177,2,Just okay,2024-09-10 01:51:43.886523
135,340,168,3,Great product!,2024-09-25 01:51:43.886533
136,385,15,4,Excellent!,2024-10-18 01:51:43.886543
137,700,198,3,Great product!,2025-03-13 01:51:43.886549
138,458,193,1,Not bad,2025-05-14 01:51:43.886554
139,141,7,3,Would not buy again,2024-11-11 01:51:43.886560
140,140,190,4,Excellent!,2025-04-10 01:51:43.886566
141,75,54,1,Excellent!,2025-01-08 01:51:43.886571
142,100,180,2,Would not buy again,2025-03-10 01:51:43.886577
143,657,179,5,Not bad,2024-09-26 01:51:43.886583
144,175,4,4,Just okay,2024-08-25 01:51:43.886588
145,821,1,5,Would not buy again,2025-05-22 01:51:43.886595
146,733,105,5,Just okay,2025-06-01 01:51:43.886600
147,323,66,1,Would not buy again,2024-10-19 01:51:43.886606
148,477,163,2,Great product!,2024-11-03 01:51:43.886611
149,10,81,3,Not bad,2024-12-30 01:51:43.886617
150,46,138,1,Not bad,2024-12-29 01:51:43.886624
151,851,195,2,Would not buy again,2025-05-20 01:51:43.886630
152,629,68,3,Not bad,2025-02-24 01:51:43.886636
153,516,102,3,Just okay,2025-04-10 01:51:43.886641
154,313,193,2,Not bad,2024-11-10 01:51:43.886647
155,238,51,3,Not bad,2024-08-26 01:51:43.886652
156,806,30,4,Not bad,2024-12-21 01:51:43.886658
157,908,39,4,Excellent!,2025-06-30 01:51:43.886664
158,31,138,1,Would not buy again,2024-07-04 01:51:43.886670
159,510,172,3,Great product!,2024-12-06 01:51:43.886676
160,130,160,3,Great product!,2024-12-16 01:51:43.886681
