transaction_id,customer_id,product_id,store_id,quantity,transaction_date,total_price
1,2,118,2,2,2025-06-30 01:51:41.694369,78.34
2,357,200,5,1,2025-05-25 01:51:41.694411,69.08
3,825,149,7,4,2025-02-10 01:51:41.694424,19.64
4,569,165,17,2,2024-11-11 01:51:41.694432,31.46
5,802,7,8,4,2025-02-15 01:51:41.694438,382.2
6,983,90,9,4,2024-12-25 01:51:41.694445,395.28
7,58,13,10,3,2025-02-23 01:51:41.694450,20.669999999999998
8,254,80,11,2,2024-12-12 01:51:41.694458,129.88
9,180,30,1,3,2025-02-24 01:51:41.694469,179.31
10,493,159,15,3,2024-10-17 01:51:41.694480,237.78000000000003
11,669,133,8,2,2025-01-18 01:51:41.694489,193.36
12,35,160,19,2,2025-05-27 01:51:41.694498,26.72
13,75,16,12,3,2024-12-19 01:51:41.694508,36.99
14,944,150,6,4,2024-12-22 01:51:41.694516,192.32
15,289,192,10,4,2025-03-19 01:51:41.694524,28.72
16,371,172,5,1,2025-06-08 01:51:41.694532,29.29
17,587,40,7,4,2024-10-09 01:51:41.694540,215.44
18,329,37,7,2,2024-09-14 01:51:41.694549,25.88
19,590,78,9,2,2024-10-14 01:51:41.694558,32.58
20,767,16,15,1,2024-07-08 01:51:41.694568,12.33
21,777,43,6,2,2025-04-17 01:51:41.694578,85.56
22,999,63,16,3,2024-07-11 01:51:41.694587,257.70000000000005
23,304,15,7,1,2025-04-20 01:51:41.694597,68.97
24,579,172,15,1,2024-10-15 01:51:41.694606,29.29
25,221,137,2,4,2024-12-25 01:51:41.694615,59.12
26,979,65,8,4,2025-01-09 01:51:41.694626,174.68
27,164,44,12,3,2024-09-14 01:51:41.694631,90.63
28,480,20,11,3,2025-05-17 01:51:41.694637,38.94
29,455,119,6,4,2025-05-01 01:51:41.694643,138.8
30,375,198,20,4,2025-04-09 01:51:41.694648,11.56
31,220,112,13,3,2025-02-28 01:51:41.694654,182.07
32,684,123,16,4,2024-07-08 01:51:41.694659,218.52
33,254,161,8,1,2025-06-15 01:51:41.694665,79.63
34,722,80,17,3,2025-04-26 01:51:41.694670,194.82
35,188,100,13,4,2025-02-06 01:51:41.694676,16.24
36,191,6,4,2,2025-01-20 01:51:41.694682,165.12
37,389,83,20,2,2024-11-09 01:51:41.694687,16.2
38,215,31,10,3,2025-02-07 01:51:41.694693,6.0
39,375,66,20,2,2024-07-08 01:51:41.694698,65.14
40,86,18,16,2,2024-12-25 01:51:41.694704,92.34
41,474,28,17,1,2024-08-13 01:51:41.694709,68.19
42,618,68,8,3,2025-06-18 01:51:41.694715,113.25
43,844,193,11,2,2024-12-29 01:51:41.694721,176.92
44,808,114,5,4,2025-03-12 01:51:41.694726,393.68
45,531,173,16,3,2024-09-14 01:51:41.694732,63.36
46,47,58,8,3,2024-09-09 01:51:41.694738,93.99
47,65,175,16,2,2024-11-28 01:51:41.694743,78.54
48,963,194,4,2,2025-03-03 01:51:41.694749,90.76
49,475,180,6,1,2025-05-07 01:51:41.694754,98.09
50,146,164,8,4,2025-06-04 01:51:41.694761,377.84
51,946,129,9,1,2025-03-05 01:51:41.694766,20.27
52,798,39,13,1,2024-11-22 01:51:41.694964,7.58
53,382,106,17,4,2024-11-12 01:51:41.694991,118.56
54,66,1,9,2,2025-05-09 01:51:41.695000,83.38
55,517,75,13,1,2024-09-09 01:51:41.695006,15.12
56,93,88,9,3,2024-08-14 01:51:41.695012,111.27000000000001
57,865,142,6,1,2024-11-10 01:51:41.695018,99.39
58,426,199,10,4,2025-01-24 01:51:41.695023,192.84
59,468,151,5,1,2024-10-05 01:51:41.695029,54.76
60,94,171,7,1,2025-06-10 01:51:41.695034,38.16
61,618,150,11,3,2025-05-09 01:51:41.695040,144.24
62,133,60,9,4,2024-09-29 01:51:41.695049,180.8
63,434,155,10,3,2024-08-22 01:51:41.695060,217.46999999999997
64,341,184,11,2,2024-09-23 01:51:41.695069,115.56
65,314,130,3,4,2024-11-29 01:51:41.695087,26.84
66,591,167,8,1,2025-05-31 01:51:41.695095,98.12
67,212,179,17,3,2024-07-29 01:51:41.695100,260.07
68,520,110,7,3,2024-12-30 01:51:41.695106,96.24
69,159,19,12,4,2025-06-08 01:51:41.695112,150.16
70,268,62,16,3,2025-05-30 01:51:41.695117,247.26
71,661,71,15,4,2025-04-18 01:51:41.695123,276.6
72,862,195,13,2,2025-06-21 01:51:41.695132,103.06
73,958,191,18,4,2025-05-08 01:51:41.695141,357.68
74,603,111,18,4,2025-05-10 01:51:41.695149,355.8
75,748,133,5,2,2025-02-03 01:51:41.695157,193.36
76,474,72,14,2,2025-01-22 01:51:41.695162,76.16
77,801,78,11,1,2025-06-17 01:51:41.695168,16.29
78,410,189,3,3,2025-01-04 01:51:41.695174,133.44
79,474,100,17,2,2025-05-09 01:51:41.695179,8.12
80,356,71,12,2,2024-07-31 01:51:41.695185,138.3
81,680,7,3,3,2025-06-09 01:51:41.695191,286.65
82,193,50,2,3,2025-06-01 01:51:41.695196,104.91
83,699,46,4,1,2024-12-22 01:51:41.695202,58.14
84,271,72,18,1,2024-10-14 01:51:41.695207,38.08
85,114,76,20,4,2024-12-08 01:51:41.695213,356.48
86,897,74,14,1,2025-05-03 01:51:41.695218,43.62
87,523,142,8,2,2024-10-10 01:51:41.695227,198.78
88,55,73,2,2,2025-06-19 01:51:41.695235,35.04
89,770,102,19,3,2025-03-04 01:51:41.695245,50.519999999999996
90,65,94,10,1,2024-09-14 01:51:41.695251,49.07
91,991,69,5,4,2024-07-28 01:51:41.695256,242.04
92,684,65,11,4,2024-10-26 01:51:41.695262,174.68
93,272,193,9,4,2024-07-12 01:51:41.695268,353.84
94,502,185,16,4,2025-02-24 01:51:41.695273,382.6
95,662,62,5,3,2025-04-17 01:51:41.695279,247.26
96,362,20,15,1,2024-07-05 01:51:41.695285,12.98
97,146,154,14,1,2024-12-09 01:51:41.695291,91.04
98,943,44,9,1,2025-05-13 01:51:41.695297,30.21
99,209,195,20,1,2025-04-13 01:51:41.695302,51.53
100,286,198,5,4,2024-11-02 01:51:41.695307,11.56
101,10,62,15,4,2024-07-17 01:51:41.695313,329.68
102,739,107,9,3,2025-01-28 01:51:41.695319,270.33
103,186,125,4,3,2024-09-30 01:51:41.695324,250.59
104,574,45,4,4,2025-03-27 01:51:41.695330,196.44
105,597,11,20,2,2024-11-29 01:51:41.695336,12.12
106,464,200,7,1,2024-09-10 01:51:41.695341,69.08
107,134,162,15,3,2024-12-04 01:51:41.695348,84.9
108,835,88,17,4,2024-07-23 01:51:41.695358,148.36
109,809,46,18,1,2025-04-04 01:51:41.695366,58.14
110,171,112,7,1,2024-08-29 01:51:41.695383,60.69
111,213,81,19,4,2024-10-10 01:51:41.695391,256.2
112,973,32,10,2,2024-08-10 01:51:41.695397,127.94
113,530,98,13,2,2024-08-15 01:51:41.695403,78.08
